Município,2013,2014,2015,2016,2017,2018,2019,2020,2021
270060 BARRA DE SAO MIGUEL,1,-,-,-,1,-,-,-,-
270070 BATALHA,3,2,1,1,1,-,-,2,-
270090 BELO MONTE,-,-,-,-,-,1,-,-,1
270100 BOCA DA MATA,2,-,-,1,1,-,3,-,1
270110 BRANQUINHA,-,-,-,1,-,-,-,-,-
270120 CACIMBINHAS,1,-,-,1,-,-,-,-,2
270130 CAJUEIRO,1,1,1,-,-,3,-,-,-
270135 CAMPESTRE,-,-,-,-,1,-,-,-,-
270140 CAMPO ALEGRE,-,-,1,-,1,-,1,2,1
270150 CAMPO GRANDE,-,-,1,-,-,-,-,-,-
270160 CANAPI,-,1,4,-,1,2,-,-,-
270170 CAPELA,-,1,-,-,-,1,2,-,1
270180 CARNEIROS,-,-,1,-,-,-,-,-,-
270190 CHA PRETA,-,-,1,-,-,-,-,-,1
270200 COITE DO NOIA,-,1,-,-,-,-,-,-,-
270210 COLONIA LEOPOLDINA,3,2,1,2,1,-,-,1,2
270230 CORURIPE,35,16,19,12,8,12,12,12,11
270235 CRAIBAS,-,-,-,-,1,-,-,-,2
270240 DELMIRO GOUVEIA,6,-,2,3,7,6,5,2,4
270250 DOIS RIACHOS,-,-,-,-,-,1,-,-,-
270255 ESTRELA DE ALAGOAS,-,-,1,1,-,-,-,-,-
270260 FEIRA GRANDE,-,1,-,-,-,-,-,1,-
270280 FLEXEIRAS,-,-,-,1,-,1,-,-,-
270290 GIRAU DO PONCIANO,-,3,-,2,-,-,-,-,-
270300 IBATEGUARA,3,-,-,2,-,1,1,-,2
270310 IGACI,-,1,-,-,-,-,-,-,-
270320 IGREJA NOVA,1,-,-,1,-,-,-,-,-
270330 INHAPI,-,-,3,1,2,2,-,2,-
270350 JACUIPE,-,-,-,-,-,-,1,-,-
270380 JOAQUIM GOMES,6,2,1,1,-,-,-,-,-
270390 JUNDIA,-,-,1,-,-,-,-,-,-
270400 JUNQUEIRO,-,1,-,-,1,-,1,1,1
270410 LAGOA DA CANOA,1,1,1,-,-,-,-,-,-
270420 LIMOEIRO DE ANADIA,-,1,1,-,-,-,1,-,1
270430 MACEIO,493,474,451,391,385,379,414,340,354
270440 MAJOR ISIDORO,1,-,-,-,-,-,-,-,1
270450 MARAGOGI,-,-,2,1,-,-,-,1,2
270460 MARAVILHA,-,-,1,1,-,-,1,-,-
270470 MARECHAL DEODORO,1,-,-,1,-,1,1,1,-
270480 MARIBONDO,-,1,-,-,1,-,1,1,-
270490 MAR VERMELHO,-,-,-,-,1,-,-,-,-
270500 MATA GRANDE,1,-,-,-,-,-,-,1,1
270510 MATRIZ DE CAMARAGIBE,-,2,1,2,1,2,-,3,-
270520 MESSIAS,3,2,-,-,2,-,-,-,1
270530 MINADOR DO NEGRAO,-,-,-,-,1,-,-,-,-
270540 MONTEIROPOLIS,1,-,1,-,-,-,1,-,-
270550 MURICI,1,-,1,2,1,-,-,2,2
270560 NOVO LINO,-,-,-,1,-,-,-,-,-
270570 OLHO D'AGUA DAS FLORES,-,1,1,1,-,1,-,-,1
270580 OLHO D'AGUA DO CASADO,-,-,-,-,-,1,1,-,-
270600 OLIVENCA,2,-,-,-,-,-,-,-,-
270610 OURO BRANCO,-,-,1,1,-,-,-,-,-
270630 PALMEIRA DOS INDIOS,34,32,35,23,38,23,25,26,40
270640 PAO DE ACUCAR,1,-,-,2,-,-,-,1,-
270642 PARICONHA,-,2,1,-,1,1,-,1,-
270644 PARIPUEIRA,-,1,-,-,-,-,-,-,-
270650 PASSO DE CAMARAGIBE,1,-,-,1,-,-,-,-,-
270670 PENEDO,21,11,11,14,9,9,10,11,7
270680 PIACABUCU,-,-,-,1,1,-,-,1,-
270690 PILAR,-,2,1,2,-,1,1,-,-
270710 PIRANHAS,2,2,5,2,-,1,1,2,-
270720 POCO DAS TRINCHEIRAS,-,1,1,-,1,-,-,1,-
270730 PORTO CALVO,-,2,2,-,1,-,1,-,1
270760 QUEBRANGULO,-,-,2,-,-,-,-,-,-
270770 RIO LARGO,-,1,-,3,3,4,2,2,5
270800 SANTANA DO IPANEMA,54,56,41,34,45,42,40,38,63
270810 SANTANA DO MUNDAU,-,1,-,-,1,-,-,-,-
270830 SAO JOSE DA LAJE,1,-,-,1,2,1,3,2,-
270840 SAO JOSE DA TAPERA,5,2,5,2,1,-,1,2,1
270850 SAO LUIS DO QUITUNDE,1,-,2,2,-,2,-,3,1
270860 SAO MIGUEL DOS CAMPOS,15,23,28,26,28,20,18,10,13
270870 SAO MIGUEL DOS MILAGRES,-,-,-,1,-,-,-,-,1
270880 SAO SEBASTIAO,1,1,2,-,1,2,-,1,-
270890 SATUBA,-,1,-,-,-,-,1,-,1
270895 SENADOR RUI PALMEIRA,1,-,-,2,-,-,-,1,1
270910 TAQUARANA,1,1,-,-,1,-,-,-,-
270915 TEOTONIO VILELA,4,2,1,1,1,1,1,1,3
270920 TRAIPU,-,2,-,-,-,-,-,2,-
270930 UNIAO DOS PALMARES,8,10,10,5,7,6,9,9,6
270940 VICOSA,2,1,-,2,3,-,1,1,-
280020 AQUIDABA,2,1,-,-,1,-,1,-,-
280030 ARACAJU,471,485,490,471,486,538,499,443,388
280040 ARAUA,-,1,-,-,-,-,-,1,-
280050 AREIA BRANCA,-,1,-,-,-,-,1,-,-
280060 BARRA DOS COQUEIROS,-,-,1,-,-,-,-,1,1
280067 BOQUIM,2,2,-,1,-,-,-,-,1
280070 BREJO GRANDE,-,-,-,-,-,-,1,-,-
280100 CAMPO DO BRITO,1,-,-,-,-,-,-,-,-
280120 CANINDE DE SAO FRANCISCO,-,2,4,2,1,5,3,1,-
280130 CAPELA,3,4,2,2,2,1,2,2,2
280140 CARIRA,-,1,-,-,-,-,3,-,1
280150 CARMOPOLIS,-,2,-,-,-,1,1,-,-
280170 CRISTINAPOLIS,1,-,1,-,-,-,1,-,-
280190 CUMBE,-,-,-,-,-,-,1,-,-
280210 ESTANCIA,9,12,16,11,9,9,9,9,12
280230 FREI PAULO,-,-,1,-,-,-,-,-,-
280240 GARARU,-,-,-,1,-,-,-,-,-
280270 ILHA DAS FLORES,-,1,-,-,-,-,-,-,-
280280 INDIAROBA,-,-,-,1,-,-,-,-,1
280290 ITABAIANA,20,17,14,12,12,13,9,15,12
280300 ITABAIANINHA,2,-,2,3,-,1,-,1,-
280310 ITABI,-,1,-,-,-,-,-,-,-
280320 ITAPORANGA D'AJUDA,1,2,-,1,4,1,-,3,-
280330 JAPARATUBA,-,-,1,-,-,-,-,1,1
280340 JAPOATA,2,-,-,-,-,-,-,-,-
280350 LAGARTO,7,7,10,6,5,5,9,5,17
280360 LARANJEIRAS,1,2,1,1,1,1,-,-,-
280380 MALHADA DOS BOIS,1,-,-,-,-,-,-,-,-
280390 MALHADOR,-,-,-,-,-,-,1,1,-
280400 MARUIM,-,1,-,-,-,1,-,-,1
280420 MONTE ALEGRE DE SERGIPE,1,1,-,-,-,-,1,1,3
280440 NEOPOLIS,1,1,1,4,2,1,3,2,1
280445 NOSSA SENHORA APARECIDA,1,-,-,-,-,-,-,-,-
280450 NOSSA SENHORA DA GLORIA,6,4,2,1,6,7,6,7,5
280460 NOSSA SENHORA DAS DORES,1,1,-,1,1,-,-,-,-
280480 NOSSA SENHORA DO SOCORRO,7,4,3,4,6,6,7,6,5
280500 PEDRA MOLE,-,-,-,1,-,-,-,-,-
280510 PEDRINHAS,-,-,-,-,-,1,-,-,-
280530 PIRAMBU,-,-,1,1,-,-,-,-,-
280540 POCO REDONDO,1,2,2,-,2,3,1,2,3
280550 POCO VERDE,-,1,1,1,-,-,1,-,1
280560 PORTO DA FOLHA,2,1,2,-,2,-,4,2,2
280570 PROPRIA,8,8,6,4,8,2,4,6,5
280580 RIACHAO DO DANTAS,3,-,2,-,-,-,1,1,2
280590 RIACHUELO,1,-,-,-,-,-,-,-,-
280600 RIBEIROPOLIS,-,-,-,-,-,-,-,-,1
280630 SANTA LUZIA DO ITANHY,1,1,-,-,-,-,-,-,-
280650 SANTA ROSA DE LIMA,-,-,-,1,-,-,-,-,-
280660 SANTO AMARO DAS BROTAS,-,1,1,-,-,-,-,-,-
280670 SAO CRISTOVAO,2,-,-,1,2,2,3,1,1
280710 SIMAO DIAS,-,-,1,1,-,2,-,1,-
280720 SIRIRI,-,-,1,-,-,-,-,-,-
280730 TELHA,-,-,-,-,-,-,1,-,-
280740 TOBIAS BARRETO,1,2,1,3,2,5,3,1,1
280750 TOMAR DO GERU,3,-,-,-,1,-,-,-,-
280760 UMBAUBA,1,2,-,-,-,1,1,1,-
290010 ABAIRA,-,1,-,-,-,-,1,-,-
290020 ABARE,-,1,1,4,3,1,3,-,1
290030 ACAJUTIBA,-,-,1,1,-,1,3,1,-
290035 ADUSTINA,2,-,-,-,-,-,1,-,-
290040 AGUA FRIA,-,-,-,1,2,-,-,1,1
290050 ERICO CARDOSO,-,-,-,-,-,1,-,1,-
290060 AIQUARA,-,1,-,-,-,-,-,-,-
290070 ALAGOINHAS,51,39,47,46,42,46,31,24,24
290080 ALCOBACA,-,2,1,-,2,1,2,-,2
290100 AMARGOSA,2,3,1,10,2,4,2,-,1
290110 AMELIA RODRIGUES,-,1,1,-,-,1,-,-,1
290115 AMERICA DOURADA,1,1,-,1,1,2,1,1,1
290120 ANAGE,2,2,1,1,-,-,2,1,1
290130 ANDARAI,1,-,1,1,-,2,-,-,-
290135 ANDORINHA,-,1,-,-,-,-,1,2,2
290140 ANGICAL,1,-,-,-,-,-,-,-,-
290150 ANGUERA,-,-,-,1,-,-,-,-,-
290160 ANTAS,1,13,7,11,12,11,5,3,1
290170 ANTONIO CARDOSO,-,-,-,1,-,-,-,-,-
290190 APORA,-,1,-,-,-,-,-,-,-
290195 APUAREMA,1,-,-,1,-,1,-,1,-
290200 ARACATU,2,-,-,-,-,-,1,-,2
290205 ARACAS,-,-,1,1,-,-,-,-,1
290210 ARACI,12,4,12,6,5,5,5,3,2
290225 ARATACA,-,1,1,-,-,-,-,-,-
290230 ARATUIPE,-,-,-,1,-,-,-,1,-
290240 AURELINO LEAL,3,2,1,1,1,-,1,3,-
290250 BAIANOPOLIS,-,1,-,1,1,-,1,-,1
290260 BAIXA GRANDE,2,-,-,1,2,-,1,1,-
290265 BANZAE,-,-,-,-,-,-,-,1,1
290270 BARRA,27,18,18,18,18,19,14,14,12
290280 BARRA DA ESTIVA,10,17,13,10,9,4,9,7,3
290290 BARRA DO CHOCA,4,6,2,5,-,4,2,2,-
290300 BARRA DO MENDES,-,1,-,-,-,-,-,1,-
290320 BARREIRAS,116,107,128,130,120,98,136,108,83
290323 BARRO ALTO,2,1,-,-,-,2,1,-,1
290327 BARROCAS,1,1,-,-,-,-,-,1,-
290330 BARRO PRETO,-,1,1,-,-,-,-,-,-
290340 BELMONTE,5,1,3,1,1,1,1,3,-
290350 BELO CAMPO,3,4,1,-,1,2,1,3,-
290360 BIRITINGA,-,1,1,-,1,-,3,-,1
290370 BOA NOVA,1,-,-,-,-,1,-,-,-
290380 BOA VISTA DO TUPIM,-,1,-,2,2,-,-,-,1
290390 BOM JESUS DA LAPA,20,23,16,17,17,20,13,13,19
290395 BOM JESUS DA SERRA,-,3,1,-,2,-,1,-,1
290400 BONINAL,1,-,-,-,1,1,1,1,-
290405 BONITO,1,1,-,-,1,-,1,1,-
290410 BOQUIRA,3,2,1,3,2,2,5,-,1
290420 BOTUPORA,-,1,-,-,-,1,-,-,-
290430 BREJOES,2,1,2,1,1,2,1,-,-
290440 BREJOLANDIA,-,-,1,-,-,-,-,1,-
290450 BROTAS DE MACAUBAS,-,-,-,2,2,-,-,-,-
290460 BRUMADO,14,13,9,5,6,32,29,22,10
290470 BUERAREMA,-,-,-,-,1,1,-,1,1
290475 BURITIRAMA,1,4,1,1,-,1,-,-,2
290480 CAATIBA,-,-,1,1,1,-,-,-,-
290485 CABACEIRAS DO PARAGUACU,1,1,-,-,-,-,-,2,-
290490 CACHOEIRA,3,-,5,2,1,3,-,-,1
290500 CACULE,1,2,1,1,1,3,2,2,2
290510 CAEM,3,1,2,-,1,2,1,-,2
290515 CAETANOS,-,-,-,-,-,1,-,-,-
290520 CAETITE,8,9,5,8,1,2,8,2,3
290530 CAFARNAUM,1,1,-,2,1,2,3,-,2
290540 CAIRU,1,-,-,-,1,-,-,1,-
290550 CALDEIRAO GRANDE,1,4,-,3,-,1,2,2,1
290560 CAMACAN,6,3,4,8,4,1,3,9,8
290570 CAMACARI,42,39,44,43,32,40,27,38,21
290580 CAMAMU,4,2,3,6,6,-,2,-,6
290590 CAMPO ALEGRE DE LOURDES,4,2,2,1,1,4,3,4,5
290600 CAMPO FORMOSO,4,6,9,2,5,13,11,9,11
290610 CANAPOLIS,-,3,-,-,1,-,-,1,-
290620 CANARANA,1,2,-,-,2,3,2,-,2
290630 CANAVIEIRAS,3,4,1,6,3,-,2,-,4
290640 CANDEAL,1,-,-,-,-,-,-,-,-
290650 CANDEIAS,8,11,11,10,7,6,11,9,9
290660 CANDIBA,-,-,-,1,-,1,-,1,1
290670 CANDIDO SALES,3,1,3,2,3,1,3,1,-
290680 CANSANCAO,8,3,8,9,5,5,1,1,2
290682 CANUDOS,2,-,2,1,3,1,2,3,1
290685 CAPELA DO ALTO ALEGRE,-,-,-,-,-,-,1,-,-
290687 CAPIM GROSSO,3,4,2,6,4,1,5,2,1
290689 CARAIBAS,-,-,-,-,-,1,1,-,-
290690 CARAVELAS,2,-,1,2,-,2,-,-,1
290700 CARDEAL DA SILVA,1,-,1,-,1,-,1,-,-
290710 CARINHANHA,4,2,6,6,4,3,3,2,3
290720 CASA NOVA,2,-,4,5,5,5,6,5,4
290730 CASTRO ALVES,1,2,1,-,2,2,1,-,-
290740 CATOLANDIA,-,-,-,-,-,1,1,-,-
290750 CATU,6,2,2,4,2,1,1,3,6
290755 CATURAMA,1,-,-,1,-,-,-,1,1
290760 CENTRAL,-,1,-,-,-,-,-,-,-
290770 CHORROCHO,-,-,1,-,1,-,1,1,-
290780 CICERO DANTAS,5,-,-,1,2,1,2,4,2
290790 CIPO,1,2,2,2,1,1,1,1,3
290800 COARACI,-,-,-,-,2,-,-,-,2
290810 COCOS,3,1,-,5,2,1,3,1,-
290820 CONCEICAO DA FEIRA,1,-,1,-,1,1,-,-,-
290830 CONCEICAO DO ALMEIDA,1,-,-,-,-,-,-,-,1
290840 CONCEICAO DO COITE,13,11,7,6,9,7,6,5,8
290850 CONCEICAO DO JACUIPE,3,-,-,-,-,-,2,-,-
290860 CONDE,4,-,-,1,4,1,1,-,1
290870 CONDEUBA,2,-,-,-,1,-,1,1,-
290880 CONTENDAS DO SINCORA,-,-,-,-,1,-,-,-,1
290900 CORDEIROS,-,1,-,-,-,-,-,-,-
290910 CORIBE,-,1,-,5,-,-,-,-,-
290920 CORONEL JOAO SA,1,-,-,-,-,-,1,-,-
290930 CORRENTINA,5,2,5,5,5,5,3,5,5
290940 COTEGIPE,-,-,-,-,-,1,1,-,2
290950 CRAVOLANDIA,-,1,-,-,-,1,-,-,-
290960 CRISOPOLIS,1,2,2,1,4,2,1,1,2
290970 CRISTOPOLIS,1,-,-,1,-,-,-,1,-
290980 CRUZ DAS ALMAS,11,8,14,10,9,8,7,4,8
290990 CURACA,4,1,2,3,1,1,3,5,2
291000 DARIO MEIRA,-,-,-,1,1,1,-,-,1
291005 DIAS D'AVILA,12,3,4,5,4,13,4,3,3
291010 DOM BASILIO,-,-,1,-,-,1,-,-,-
291030 ELISIO MEDRADO,-,-,-,-,-,-,1,-,-
291040 ENCRUZILHADA,6,2,5,3,3,1,2,-,2
291050 ENTRE RIOS,2,4,3,2,3,1,4,4,1
291060 ESPLANADA,13,5,8,3,6,4,5,5,3
291070 EUCLIDES DA CUNHA,8,8,4,11,16,8,6,9,6
291072 EUNAPOLIS,26,27,32,29,31,21,16,13,19
291075 FATIMA,-,-,-,1,1,-,-,-,-
291080 FEIRA DE SANTANA,295,298,243,268,261,318,286,272,289
291085 FILADELFIA,3,-,-,1,2,2,1,5,2
291100 FLORESTA AZUL,-,-,-,-,1,-,-,-,-
291110 FORMOSA DO RIO PRETO,1,-,3,3,-,1,-,2,2
291120 GANDU,8,8,5,7,5,2,2,6,7
291125 GAVIAO,-,-,-,-,-,-,-,-,1
291130 GENTIO DO OURO,-,-,-,1,2,1,-,-,1
291140 GLORIA,-,-,-,-,-,1,-,-,1
291150 GONGOGI,-,-,-,1,2,-,-,1,-
291160 GOVERNADOR MANGABEIRA,-,1,1,1,1,-,-,1,-
291165 GUAJERU,1,-,1,-,-,-,-,-,-
291170 GUANAMBI,53,37,34,43,56,45,43,28,28
291180 GUARATINGA,2,4,2,-,2,-,-,-,1
291190 IACU,1,3,2,3,1,2,1,3,2
291200 IBIASSUCE,2,4,1,1,1,-,1,2,-
291210 IBICARAI,-,-,1,-,1,-,1,-,1
291220 IBICOARA,-,-,1,-,-,-,-,-,-
291230 IBICUI,1,-,1,1,1,1,-,1,2
291240 IBIPEBA,-,1,-,-,-,1,2,-,2
291250 IBIPITANGA,-,-,-,-,-,1,1,-,1
291260 IBIQUERA,-,-,-,1,-,-,-,-,1
291270 IBIRAPITANGA,3,1,3,2,1,3,2,1,4
291280 IBIRAPUA,-,1,3,-,1,2,1,-,-
291290 IBIRATAIA,2,2,4,3,4,4,2,1,1
291300 IBITIARA,3,3,3,-,4,9,3,1,-
291310 IBITITA,1,1,-,-,-,1,-,1,1
291320 IBOTIRAMA,18,11,12,11,13,10,5,4,5
291330 ICHU,-,1,1,-,-,-,-,-,-
291340 IGAPORA,2,1,-,1,2,1,1,-,-
291345 IGRAPIUNA,-,-,-,-,1,-,1,3,1
291350 IGUAI,2,2,1,2,2,2,1,1,3
291360 ILHEUS,64,56,46,63,44,39,38,43,27
291370 INHAMBUPE,5,3,3,3,4,2,4,8,4
291380 IPECAETA,-,-,-,-,1,-,-,-,-
291390 IPIAU,6,9,9,16,10,2,8,1,5
291400 IPIRA,5,7,2,2,5,1,2,-,3
291410 IPUPIARA,-,2,1,-,-,1,-,-,-
291420 IRAJUBA,2,1,-,1,2,-,-,-,1
291430 IRAMAIA,1,-,-,2,-,-,-,-,-
291440 IRAQUARA,4,2,3,9,2,4,7,7,6
291450 IRARA,3,1,1,1,-,-,1,-,1
291460 IRECE,97,86,112,92,92,81,69,71,87
291465 ITABELA,4,4,5,4,3,1,-,3,2
291470 ITABERABA,12,9,10,14,8,7,7,10,4
291480 ITABUNA,194,170,151,157,170,156,184,136,174
291490 ITACARE,-,2,2,2,2,-,1,3,-
291500 ITAETE,1,1,-,1,-,2,3,1,-
291510 ITAGI,1,1,2,-,-,-,-,-,-
291520 ITAGIBA,1,3,-,-,1,1,-,-,-
291530 ITAGIMIRIM,1,1,1,-,1,-,-,-,-
291535 ITAGUACU DA BAHIA,-,1,1,-,1,-,-,-,-
291540 ITAJU DO COLONIA,1,-,-,-,-,-,1,-,-
291550 ITAJUIPE,-,1,-,1,-,2,2,-,2
291560 ITAMARAJU,23,15,6,14,7,15,9,14,6
291570 ITAMARI,1,1,-,-,-,-,-,-,-
291580 ITAMBE,5,2,3,4,2,4,-,2,1
291590 ITANAGRA,-,-,-,-,-,-,-,1,-
291600 ITANHEM,1,-,4,1,1,1,-,1,-
291610 ITAPARICA,17,13,8,4,7,6,4,8,3
291620 ITAPE,-,-,-,1,1,-,-,-,1
291630 ITAPEBI,2,1,-,2,-,4,2,1,-
291640 ITAPETINGA,15,27,24,22,14,15,11,11,16
291650 ITAPICURU,-,-,1,1,3,4,1,1,2
291660 ITAPITANGA,-,-,-,-,1,1,1,1,1
291670 ITAQUARA,2,1,1,-,2,-,-,-,-
291680 ITARANTIM,2,3,4,-,5,2,3,4,1
291685 ITATIM,-,4,2,-,2,-,-,-,-
291690 ITIRUCU,1,-,4,3,-,-,-,-,-
291700 ITIUBA,2,2,2,3,6,-,3,5,3
291710 ITORORO,4,5,2,-,1,-,8,6,3
291720 ITUACU,-,1,1,1,1,-,-,-,2
291730 ITUBERA,2,3,2,1,2,1,2,1,2
291733 IUIU,4,-,-,1,1,-,2,2,2
291735 JABORANDI,-,-,-,1,2,1,1,-,2
291740 JACARACI,-,-,1,-,1,-,4,-,-
291750 JACOBINA,19,19,27,24,21,17,25,10,23
291760 JAGUAQUARA,4,10,5,13,8,5,7,3,4
291770 JAGUARARI,-,1,1,2,2,1,-,3,2
291780 JAGUARIPE,-,-,-,1,-,-,-,-,-
291790 JANDAIRA,1,-,-,-,-,-,-,-,-
291800 JEQUIE,59,86,87,63,67,59,64,54,48
291810 JEREMOABO,5,-,-,3,3,1,4,1,1
291820 JIQUIRICA,-,1,-,2,-,2,-,-,-
291830 JITAUNA,-,-,1,1,1,-,-,-,1
291835 JOAO DOURADO,-,-,-,1,-,1,-,-,-
291840 JUAZEIRO,15,25,30,35,33,33,35,35,29
291845 JUCURUCU,-,-,-,-,-,-,-,-,2
291850 JUSSARA,-,-,1,1,2,-,-,-,-
291855 JUSSARI,-,1,-,-,-,-,-,-,-
291860 JUSSIAPE,-,-,-,-,-,-,1,-,-
291870 LAFAIETE COUTINHO,-,-,-,-,-,-,1,-,-
291875 LAGOA REAL,1,1,-,-,-,1,-,-,-
291880 LAJE,4,2,-,-,-,2,1,1,1
291890 LAJEDAO,-,-,-,-,-,-,-,-,1
291905 LAJEDO DO TABOCAL,-,-,-,-,-,-,-,-,1
291910 LAMARAO,-,-,-,-,1,-,-,-,-
291915 LAPAO,-,-,-,2,-,-,-,1,2
291920 LAURO DE FREITAS,34,36,21,20,13,7,6,14,7
291930 LENCOIS,-,-,-,2,-,-,-,2,-
291940 LICINIO DE ALMEIDA,-,3,-,-,-,-,-,1,-
291950 LIVRAMENTO DE NOSSA SENHORA,7,8,2,3,7,2,-,3,3
291955 LUIS EDUARDO MAGALHAES,13,7,8,14,12,15,18,14,10
291960 MACAJUBA,-,1,-,3,1,-,-,1,2
291970 MACARANI,4,2,2,3,4,2,1,1,2
291980 MACAUBAS,4,5,5,2,4,6,9,5,2
291990 MACURURE,-,1,-,3,1,-,-,2,-
291992 MADRE DE DEUS,2,4,3,4,4,3,2,2,3
291995 MAETINGA,-,-,1,-,1,1,-,-,-
292000 MAIQUINIQUE,2,-,-,-,1,-,-,-,2
292010 MAIRI,2,1,-,2,2,2,-,-,2
292020 MALHADA,1,-,-,3,-,1,2,2,2
292030 MALHADA DE PEDRAS,-,1,-,1,-,-,-,-,-
292040 MANOEL VITORINO,-,-,-,-,-,-,1,-,1
292045 MANSIDAO,-,-,-,-,-,-,1,-,-
292050 MARACAS,3,4,3,2,1,4,1,1,-
292060 MARAGOGIPE,-,2,-,1,1,1,-,1,1
292070 MARAU,1,1,-,-,-,1,-,2,-
292080 MARCIONILIO SOUZA,-,1,1,1,-,-,2,-,1
292090 MASCOTE,-,-,-,-,-,1,-,-,-
292100 MATA DE SAO JOAO,9,8,7,5,8,1,5,8,1
292105 MATINA,-,-,1,-,-,-,-,-,-
292110 MEDEIROS NETO,9,3,2,3,1,-,2,3,1
292120 MIGUEL CALMON,6,5,4,1,7,4,1,3,3
292130 MILAGRES,-,-,1,-,1,-,1,1,-
292140 MIRANGABA,-,-,1,-,-,-,-,-,-
292150 MONTE SANTO,8,2,9,3,9,6,6,5,4
292160 MORPARA,-,-,1,-,-,1,-,-,-
292170 MORRO DO CHAPEU,7,5,3,1,4,4,2,3,-
292180 MORTUGABA,1,1,-,1,-,1,-,-,-
292190 MUCUGE,3,1,2,1,-,1,1,-,1
292200 MUCURI,5,3,5,1,3,4,6,1,3
292205 MULUNGU DO MORRO,-,1,-,1,2,-,2,-,1
292210 MUNDO NOVO,2,2,1,2,1,-,-,1,-
292225 MUQUEM DE SAO FRANCISCO,-,1,-,-,-,-,-,1,-
292230 MURITIBA,-,-,1,-,-,1,1,1,-
292240 MUTUIPE,3,3,1,2,3,2,2,2,1
292250 NAZARE,1,4,3,4,1,-,-,2,1
292260 NILO PECANHA,-,-,-,-,-,-,-,1,1
292265 NORDESTINA,4,2,-,1,2,3,-,1,1
292270 NOVA CANAA,-,1,-,2,3,1,2,1,1
292280 NOVA ITARANA,-,1,-,-,-,-,-,-,-
292285 NOVA REDENCAO,-,-,-,1,-,-,-,-,-
292290 NOVA SOURE,2,8,2,5,6,4,2,5,2
292300 NOVA VICOSA,12,4,6,5,5,3,1,1,1
292303 NOVO HORIZONTE,-,-,-,1,-,1,-,-,-
292305 NOVO TRIUNFO,-,1,-,-,-,-,-,-,-
292310 OLINDINA,2,-,4,-,3,4,2,3,-
292320 OLIVEIRA DOS BREJINHOS,2,-,-,-,-,1,2,-,1
292330 OURICANGAS,-,-,1,1,1,1,-,-,-
292335 OUROLANDIA,-,-,-,-,2,4,1,2,6
292340 PALMAS DE MONTE ALTO,2,1,5,1,2,-,2,4,2
292350 PALMEIRAS,-,1,-,-,-,1,-,-,1
292360 PARAMIRIM,19,18,13,11,9,2,6,1,4
292370 PARATINGA,4,4,6,8,5,6,2,2,1
292380 PARIPIRANGA,1,2,-,-,-,-,1,1,-
292390 PAU BRASIL,1,1,-,1,1,-,-,1,-
292400 PAULO AFONSO,30,32,26,30,28,26,29,16,21
292405 PE DE SERRA,1,-,1,-,-,-,-,-,1
292410 PEDRAO,-,1,-,1,-,-,-,1,-
292420 PEDRO ALEXANDRE,2,-,-,1,1,-,-,-,-
292430 PIATA,5,5,2,3,4,3,2,-,1
292440 PILAO ARCADO,2,3,6,1,6,3,1,5,4
292450 PINDAI,-,-,-,1,1,1,-,-,-
292460 PINDOBACU,-,2,1,1,2,3,3,-,3
292467 PIRAI DO NORTE,-,1,1,-,1,1,-,1,-
292470 PIRIPA,1,-,1,-,-,-,-,3,-
292480 PIRITIBA,-,4,-,1,-,1,-,1,2
292490 PLANALTINO,1,-,-,-,-,-,-,-,-
292500 PLANALTO,1,3,4,4,-,4,2,1,-
292510 POCOES,5,9,4,3,5,2,2,8,3
292520 POJUCA,3,10,11,7,4,7,5,1,3
292525 PONTO NOVO,2,-,1,3,2,1,-,1,3
292530 PORTO SEGURO,28,33,49,42,46,42,51,28,52
292540 POTIRAGUA,-,1,-,-,-,-,1,1,1
292550 PRADO,-,6,2,2,2,4,3,2,8
292560 PRESIDENTE DUTRA,-,-,-,1,-,1,-,-,-
292570 PRESIDENTE JANIO QUADROS,1,-,-,1,-,-,-,-,-
292575 PRESIDENTE TANCREDO NEVES,3,-,4,6,1,1,1,3,6
292580 QUEIMADAS,1,2,2,3,-,2,-,1,1
292590 QUIJINGUE,6,3,2,4,2,2,2,4,1
292595 RAFAEL JAMBEIRO,2,4,-,2,1,-,-,-,-
292600 REMANSO,9,11,2,4,3,6,5,5,4
292610 RETIROLANDIA,-,1,-,-,-,-,-,-,-
292620 RIACHAO DAS NEVES,-,-,-,-,-,-,2,1,-
292630 RIACHAO DO JACUIPE,3,2,-,1,5,4,8,9,3
292640 RIACHO DE SANTANA,3,3,3,3,1,2,4,4,-
292650 RIBEIRA DO AMPARO,-,1,1,-,-,-,1,-,2
292660 RIBEIRA DO POMBAL,17,22,17,11,19,26,24,26,13
292665 RIBEIRAO DO LARGO,-,1,-,-,-,-,-,-,-
292670 RIO DE CONTAS,1,1,-,2,1,-,-,2,1
292680 RIO DO ANTONIO,-,1,-,-,-,1,-,-,-
292690 RIO DO PIRES,-,-,-,1,-,-,-,1,-
292700 RIO REAL,1,7,1,1,1,2,5,5,4
292710 RODELAS,-,-,-,-,2,2,1,-,-
292720 RUY BARBOSA,8,5,11,3,7,7,3,3,2
292730 SALINAS DA MARGARIDA,-,-,-,-,3,2,2,-,-
292740 SALVADOR,1010,941,891,888,872,952,890,845,882
292750 SANTA BARBARA,2,1,-,-,4,-,-,1,-
292760 SANTA BRIGIDA,1,1,-,-,1,-,-,-,-
