Município,Menor de 10 anos,10 a 14 anos,15 a 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 44 anos,45 a 49 anos,50 a 54 anos,55 a 59 anos,60 a 64 anos,Idade ignorada,Total
410442 CANDOI,-,-,5,3,3,-,1,-,-,-,-,-,-,12
410445 CANTAGALO,-,-,1,1,2,2,1,-,-,-,-,-,-,7
410450 CAPANEMA,-,-,-,2,-,-,3,-,-,-,-,-,-,5
410460 CAPITAO LEONIDAS MARQUES,-,-,1,-,-,-,1,-,-,-,-,-,-,2
410465 CARAMBEI,-,-,1,-,-,-,-,-,-,-,-,-,1,2
410470 CARLOPOLIS,-,-,1,1,1,1,-,-,-,-,-,-,-,4
410480 CASCAVEL,-,3,70,119,91,98,57,16,3,-,-,-,1,458
410490 CASTRO,-,-,18,20,17,15,3,4,-,-,-,-,2,79
410510 CENTENARIO DO SUL,-,-,-,1,2,-,-,1,-,-,-,-,-,4
410520 CERRO AZUL,-,-,-,-,-,-,-,-,-,-,-,-,1,1
410530 CEU AZUL,-,-,-,-,-,-,1,-,-,-,-,-,-,1
410540 CHOPINZINHO,-,-,2,3,4,3,1,-,-,-,-,-,4,17
410550 CIANORTE,-,1,23,33,37,23,15,8,-,-,-,-,-,140
410560 CIDADE GAUCHA,-,-,2,-,-,-,-,-,-,-,-,-,-,2
410570 CLEVELANDIA,-,-,1,3,-,-,-,-,-,-,-,-,-,4
410580 COLOMBO,-,2,36,51,34,26,28,4,-,-,-,-,5,186
410590 COLORADO,-,-,2,6,6,4,1,-,-,-,-,-,-,19
410630 CORBELIA,-,-,-,1,-,-,-,1,-,-,-,-,-,2
410640 CORNELIO PROCOPIO,-,1,33,23,29,26,25,4,1,-,-,-,14,156
410645 CORONEL DOMINGOS SOARES,-,-,-,-,-,-,-,-,-,-,-,-,1,1
410650 CORONEL VIVIDA,-,-,1,4,2,1,-,-,-,-,-,-,-,8
410660 CRUZEIRO DO OESTE,-,-,1,2,-,-,3,1,-,-,-,-,-,7
410680 CRUZ MACHADO,-,-,-,1,-,1,2,-,-,-,-,-,-,4
410690 CURITIBA,-,14,212,433,473,455,337,134,13,-,-,-,43,2.114
410700 CURIUVA,-,1,3,1,2,3,-,-,-,-,-,-,-,10
410710 DIAMANTE DO NORTE,-,-,-,-,-,-,1,-,-,-,-,-,-,1
410720 DOIS VIZINHOS,-,-,-,7,5,1,2,1,-,-,-,-,2,18
410725 DOURADINA,-,1,-,-,-,-,-,-,-,-,-,-,-,1
410750 ENGENHEIRO BELTRAO,-,-,1,1,2,1,2,-,-,-,-,-,1,8
410753 ENTRE RIOS DO OESTE,-,-,1,1,-,-,-,-,-,-,-,-,-,2
410760 FAXINAL,-,-,-,4,3,-,2,-,-,-,-,-,-,9
410765 FAZENDA RIO GRANDE,-,-,8,12,7,3,3,-,-,-,-,-,3,36
410775 FIGUEIRA,-,-,-,-,-,-,1,-,-,-,-,-,-,1
410800 FLORESTOPOLIS,-,-,-,-,1,-,-,-,-,-,-,-,-,1
410820 FORMOSA DO OESTE,-,-,1,-,-,-,-,-,-,-,-,-,-,1
410830 FOZ DO IGUACU,-,6,49,80,79,63,52,26,2,-,-,-,9,366
410840 FRANCISCO BELTRAO,-,1,19,27,35,36,21,9,-,-,-,-,8,156
410850 GENERAL CARNEIRO,-,-,-,1,1,-,-,1,1,-,-,-,-,4
410860 GOIOERE,-,-,7,7,4,5,3,1,-,-,-,-,5,32
410870 GRANDES RIOS,-,-,2,-,-,3,-,-,-,-,-,-,-,5
410880 GUAIRA,-,1,5,5,4,3,1,2,-,-,-,-,-,21
410920 GUARACI,-,-,1,-,-,-,-,-,-,-,-,-,-,1
410930 GUARANIACU,-,-,-,3,1,1,2,-,-,-,-,-,-,7
410940 GUARAPUAVA,-,4,55,78,75,59,44,22,4,1,-,-,2,344
410950 GUARAQUECABA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
410960 GUARATUBA,-,-,7,3,8,6,7,2,-,-,-,-,4,37
410970 IBAITI,-,-,5,5,3,3,3,-,-,-,-,-,-,19
410975 IBEMA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
410980 IBIPORA,-,-,2,7,4,2,2,2,-,-,-,-,1,20
411010 IMBITUVA,-,-,1,-,-,1,-,-,-,-,-,-,-,2
411020 INACIO MARTINS,-,-,-,-,-,1,-,-,-,-,-,-,-,1
411050 IPIRANGA,-,-,1,1,1,-,-,-,-,-,-,-,-,3
411060 IPORA,-,-,3,1,1,-,-,-,-,-,-,-,1,6
411070 IRATI,-,2,23,37,18,40,19,9,3,-,-,-,2,153
411080 IRETAMA,-,-,-,1,1,-,-,-,-,-,-,-,2,4
411095 ITAIPULANDIA,-,-,-,5,-,1,-,-,-,-,-,-,-,6
411125 ITAPERUCU,-,-,1,2,1,2,-,-,-,-,-,-,4,10
411140 IVAI,-,-,1,-,-,-,1,1,-,-,-,-,2,5
411150 IVAIPORA,-,-,11,13,14,7,10,6,2,-,-,-,4,67
411160 IVATUBA,-,-,-,-,-,-,1,-,-,-,-,-,-,1
411170 JABOTI,-,-,-,1,-,-,-,-,-,-,-,-,1,2
411180 JACAREZINHO,-,-,5,8,10,5,2,2,-,-,-,-,1,33
411190 JAGUAPITA,-,-,2,1,-,-,-,-,-,-,-,-,-,3
411200 JAGUARIAIVA,-,1,5,7,6,5,2,1,-,-,-,-,3,30
411210 JANDAIA DO SUL,-,-,1,2,-,3,-,-,1,-,-,-,-,7
411220 JANIOPOLIS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
411240 JAPURA,-,-,-,-,2,1,-,-,-,-,-,-,-,3
411250 JARDIM ALEGRE,-,-,-,-,-,1,-,1,-,-,-,-,-,2
411270 JATAIZINHO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
411275 JESUITAS,-,-,-,-,1,-,1,-,-,-,-,-,-,2
411280 JOAQUIM TAVORA,-,-,-,-,-,1,1,-,-,-,-,-,1,3
411310 KALORE,-,-,-,1,1,-,-,-,-,-,-,-,-,2
411320 LAPA,-,-,6,5,4,2,2,2,-,-,-,-,-,21
411330 LARANJEIRAS DO SUL,-,5,14,9,14,7,6,3,-,-,-,-,-,58
411340 LEOPOLIS,-,-,-,-,-,-,-,1,-,-,-,-,-,1
411350 LOANDA,-,3,8,6,9,3,1,-,-,-,-,-,1,31
411370 LONDRINA,-,8,83,139,154,138,117,41,1,-,-,-,22,703
411375 LUNARDELLI,-,-,1,-,-,-,-,-,-,-,-,-,-,1
411390 MALLET,-,-,-,-,2,-,1,-,-,-,-,-,-,3
411400 MAMBORE,-,-,-,-,1,-,1,-,-,-,-,-,-,2
411410 MANDAGUACU,-,-,1,1,2,1,-,-,-,-,-,-,-,5
411420 MANDAGUARI,-,-,1,3,2,1,-,-,-,-,-,-,-,7
411430 MANDIRITUBA,-,-,2,1,1,-,-,-,-,-,-,-,1,5
411440 MANGUEIRINHA,-,-,5,3,4,3,1,1,-,-,-,-,-,17
411450 MANOEL RIBAS,-,-,3,3,-,3,1,-,-,-,-,-,1,11
411460 MARECHAL CANDIDO RONDON,-,-,4,8,11,5,6,3,-,-,-,-,1,38
411480 MARIALVA,-,-,-,-,-,-,1,-,-,-,-,-,-,1
411500 MARILENA,-,-,-,1,-,-,1,-,-,-,-,-,-,2
411510 MARILUZ,-,-,-,-,-,1,-,-,-,-,-,-,-,1
411520 MARINGA,-,5,63,117,133,151,66,32,5,-,-,-,4,576
411535 MARIPA,-,-,1,2,-,-,-,-,-,-,-,-,-,3
411540 MARMELEIRO,-,-,1,1,1,-,-,-,-,-,-,-,-,3
411560 MATELANDIA,-,-,2,-,3,-,-,2,-,-,-,-,-,7
411570 MATINHOS,-,1,4,4,3,6,2,3,-,-,-,-,5,28
411575 MAUA DA SERRA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
411580 MEDIANEIRA,-,-,7,10,9,13,5,5,1,-,-,-,3,53
411590 MIRADOR,-,-,-,1,-,-,-,-,-,-,-,-,-,1
411605 MISSAL,-,-,-,1,1,-,-,1,-,-,-,-,1,4
411610 MOREIRA SALES,-,-,-,-,-,-,-,-,-,-,-,-,1,1
411620 MORRETES,-,-,1,-,-,-,-,-,-,-,-,-,-,1
411670 NOVA AURORA,-,-,2,1,-,-,2,-,-,-,-,-,-,5
411680 NOVA CANTU,-,-,1,-,-,-,-,-,-,-,-,-,-,1
411690 NOVA ESPERANCA,-,-,2,3,3,-,1,1,-,-,-,-,1,11
411705 NOVA LARANJEIRAS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
411710 NOVA LONDRINA,-,-,1,1,1,-,-,-,-,-,-,-,-,3
411720 NOVA OLIMPIA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
411725 NOVA PRATA DO IGUACU,-,-,1,-,-,1,-,-,-,-,-,-,-,2
411727 NOVA TEBAS,-,-,-,3,-,-,-,-,-,-,-,-,1,4
411730 ORTIGUEIRA,-,-,2,1,1,1,1,-,-,-,-,-,-,6
411745 OURO VERDE DO OESTE,-,-,1,-,-,-,-,-,-,-,-,-,-,1
411750 PAICANDU,-,-,-,-,-,-,1,1,-,-,-,-,-,2
411760 PALMAS,-,1,15,13,9,7,7,1,-,-,-,-,1,54
411770 PALMEIRA,-,-,1,1,-,-,-,-,-,-,-,-,-,2
411780 PALMITAL,-,-,-,-,1,-,-,-,-,-,-,-,-,1
411790 PALOTINA,-,2,1,5,5,6,6,-,-,-,-,-,-,25
411800 PARAISO DO NORTE,-,-,1,1,1,-,2,-,-,-,-,-,1,6
411810 PARANACITY,-,-,1,1,1,-,-,-,-,-,-,-,-,3
411820 PARANAGUA,-,5,44,66,72,58,26,12,2,-,-,-,14,299
411840 PARANAVAI,-,1,36,25,21,32,16,6,-,-,-,-,32,169
411850 PATO BRANCO,-,1,33,62,51,44,29,11,1,-,-,-,11,243
411870 PAULO FRONTIN,-,-,-,-,-,1,2,-,-,-,-,-,-,3
411890 PEROLA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
411910 PIEN,-,-,-,1,-,-,-,-,-,-,-,-,-,1
411915 PINHAIS,-,1,26,37,21,26,7,6,-,-,-,-,12,136
411920 PINHALAO,-,-,1,-,2,1,2,-,-,-,-,-,-,6
411930 PINHAO,-,1,8,9,3,6,1,2,-,-,-,-,-,30
411940 PIRAI DO SUL,-,-,-,-,2,-,-,-,-,-,-,-,-,2
411950 PIRAQUARA,-,-,2,2,1,2,-,-,-,-,-,-,1,8
411960 PITANGA,-,-,9,10,7,4,5,2,-,-,-,-,-,37
411970 PLANALTINA DO PARANA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
411980 PLANALTO,-,-,1,4,-,2,-,-,-,-,-,-,-,7
411990 PONTA GROSSA,-,5,74,125,107,93,73,30,5,-,-,-,53,565
411995 PONTAL DO PARANA,-,-,2,1,-,-,1,-,-,-,-,-,1,5
412000 PORECATU,-,-,-,2,1,-,-,-,-,-,-,-,-,3
412035 PRANCHITA,-,-,3,-,-,2,3,-,-,-,-,-,-,8
412050 PRIMEIRO DE MAIO,-,-,-,-,1,-,-,-,-,-,-,-,1,2
412060 PRUDENTOPOLIS,-,1,3,10,7,4,6,2,-,-,-,-,-,33
412070 QUATIGUA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
412090 QUEDAS DO IGUACU,-,3,5,4,2,2,4,-,-,-,-,-,-,20
412100 QUERENCIA DO NORTE,-,-,-,1,2,3,-,-,-,-,-,-,-,6
412120 QUITANDINHA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
412140 REALEZA,-,-,1,1,-,2,-,-,-,-,-,-,-,4
412150 REBOUCAS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
412170 RESERVA,-,-,3,1,1,4,1,-,-,-,-,-,-,10
412175 RESERVA DO IGUACU,-,-,1,-,-,-,-,-,-,-,-,-,-,1
412180 RIBEIRAO CLARO,-,-,1,3,1,-,-,-,-,-,-,-,1,6
412190 RIBEIRAO DO PINHAL,-,-,1,3,2,1,1,-,-,-,-,-,1,9
412200 RIO AZUL,-,-,1,1,-,1,1,-,-,-,-,-,-,4
412215 RIO BONITO DO IGUACU,-,-,-,1,-,-,-,-,-,-,-,-,-,1
412217 RIO BRANCO DO IVAI,-,-,-,-,1,1,-,-,-,-,-,-,-,2
412220 RIO BRANCO DO SUL,-,-,1,4,-,-,-,2,-,-,-,-,-,7
412230 RIO NEGRO,-,-,2,3,-,1,1,1,-,-,-,-,1,9
412240 ROLANDIA,-,-,2,14,9,4,5,2,-,-,-,-,3,39
412250 RONCADOR,-,-,1,-,-,-,-,-,-,-,-,-,-,1
412265 ROSARIO DO IVAI,-,-,-,4,-,-,1,-,-,-,-,-,-,5
412300 SALTO DO LONTRA,-,1,-,-,1,-,-,-,-,-,-,-,1,3
412340 SANTA FE,-,-,1,-,-,-,-,-,-,-,-,-,-,1
412350 SANTA HELENA,-,-,-,2,-,1,1,-,-,-,-,-,-,4
412370 SANTA ISABEL DO IVAI,-,-,1,2,-,-,1,-,-,-,-,-,-,4
412380 SANTA IZABEL DO OESTE,-,-,-,2,1,-,1,-,-,-,-,-,-,4
412385 SANTA MARIA DO OESTE,-,-,4,1,7,-,1,-,-,-,-,-,-,13
412390 SANTA MARIANA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
412400 SANTANA DO ITARARE,-,-,1,-,-,-,-,-,-,-,-,-,1,2
412410 SANTO ANTONIO DA PLATINA,-,1,30,36,37,33,26,11,1,-,-,-,22,197
412440 SANTO ANTONIO DO SUDOESTE,-,-,-,2,4,-,-,2,-,-,-,-,-,8
412450 SANTO INACIO,-,-,-,-,-,-,-,1,-,-,-,-,-,1
412470 SAO JERONIMO DA SERRA,-,1,-,-,-,1,-,-,-,-,-,-,-,2
412480 SAO JOAO,-,-,-,-,-,-,1,-,-,-,-,-,-,1
412500 SAO JOAO DO IVAI,-,-,1,1,-,1,-,-,-,-,-,-,-,3
412510 SAO JOAO DO TRIUNFO,-,-,-,1,1,-,1,-,-,-,-,-,-,3
412520 SAO JORGE D'OESTE,-,-,-,1,-,-,-,-,-,-,-,-,-,1
412535 SAO JORGE DO PATROCINIO,-,-,-,2,-,-,-,-,-,-,-,-,-,2
412545 SAO JOSE DAS PALMEIRAS,-,-,1,-,-,-,-,-,-,-,-,-,-,1
412550 SAO JOSE DOS PINHAIS,-,1,23,58,56,34,30,13,1,-,-,-,25,241
412560 SAO MATEUS DO SUL,-,1,8,11,5,4,2,-,-,-,-,-,1,32
412570 SAO MIGUEL DO IGUACU,-,-,-,-,-,-,1,-,-,-,-,-,-,1
412580 SAO PEDRO DO IVAI,-,-,-,1,-,1,-,-,-,-,-,-,-,2
412625 SARANDI,-,-,17,22,15,13,7,1,-,-,-,-,-,75
412630 SENGES,-,-,1,-,-,-,-,-,-,-,-,-,-,1
412650 SERTANOPOLIS,-,-,-,-,1,-,-,-,-,-,-,-,-,1
412660 SIQUEIRA CAMPOS,-,-,1,-,-,1,1,-,-,-,-,-,-,3
412665 SULINA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
412667 TAMARANA,-,1,-,-,-,-,-,-,-,-,-,-,-,1
412710 TELEMACO BORBA,-,1,25,30,18,21,17,6,2,-,-,-,3,123
412720 TERRA BOA,-,-,1,1,3,2,1,-,-,-,-,-,-,8
412730 TERRA RICA,-,-,4,4,2,2,-,-,-,-,-,-,-,12
412740 TERRA ROXA,-,-,1,4,-,3,-,-,-,-,-,-,1,9
412750 TIBAGI,-,-,1,-,-,-,-,-,-,-,-,-,-,1
412760 TIJUCAS DO SUL,-,-,-,1,-,-,-,-,-,-,-,-,1,2
412770 TOLEDO,-,1,39,53,52,42,31,12,1,-,-,-,10,241
412780 TOMAZINA,-,-,2,1,2,2,-,-,-,-,-,-,-,7
412785 TRES BARRAS DO PARANA,-,-,-,-,-,-,-,1,-,-,-,-,-,1
412788 TUNAS DO PARANA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
412795 TUPASSI,-,-,-,-,1,-,-,-,-,-,-,-,-,1
412796 TURVO,-,-,2,1,-,-,1,1,-,-,-,-,-,5
412800 UBIRATA,-,-,5,6,7,1,4,2,-,-,-,-,2,27
412810 UMUARAMA,-,3,36,64,51,43,29,11,1,-,-,-,1,239
412820 UNIAO DA VITORIA,-,1,19,22,22,21,17,5,-,-,-,-,1,108
412840 URAI,-,1,1,1,-,-,-,-,-,-,-,-,1,4
412850 WENCESLAU BRAZ,-,-,-,1,1,1,1,-,-,-,-,-,1,5
412853 VENTANIA,-,-,1,-,1,-,-,-,-,-,-,-,-,2
412855 VERA CRUZ DO OESTE,-,-,-,1,2,-,-,-,-,-,-,-,-,3
412880 XAMBRE,-,-,-,-,1,-,-,-,-,-,-,-,-,1
420005 ABDON BATISTA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
420010 ABELARDO LUZ,-,1,5,4,4,1,-,-,-,-,-,-,1,16
420020 AGROLANDIA,-,-,1,-,-,1,-,-,-,-,-,-,-,2
420040 AGUA DOCE,-,-,1,1,-,-,-,1,-,-,-,-,1,4
420060 AGUAS MORNAS,-,-,-,-,-,-,-,-,-,-,-,-,1,1
420070 ALFREDO WAGNER,-,-,-,1,-,-,-,-,-,-,-,-,-,1
420080 ANCHIETA,-,-,-,-,-,-,-,-,1,-,-,-,-,1
420090 ANGELINA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
420100 ANITA GARIBALDI,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420130 ARAQUARI,-,-,-,-,-,-,2,-,-,-,-,-,-,2
420140 ARARANGUA,-,3,20,20,28,14,12,6,-,-,-,-,11,114
420150 ARMAZEM,-,-,-,-,-,1,-,-,-,-,-,-,1,2
420195 BALNEARIO ARROIO DO SILVA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
420200 BALNEARIO CAMBORIU,-,1,43,74,74,57,57,19,2,-,-,-,27,354
420207 BALNEARIO GAIVOTA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420210 BARRA VELHA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
420230 BIGUACU,-,-,2,7,4,6,1,-,-,-,-,-,-,20
420240 BLUMENAU,-,2,29,87,76,69,50,16,1,-,-,-,6,336
420245 BOMBINHAS,-,-,-,-,-,2,-,-,-,-,-,-,-,2
420260 BOM RETIRO,-,-,-,-,1,-,-,-,-,-,-,-,1,2
420280 BRACO DO NORTE,-,-,4,8,13,9,3,2,-,-,-,-,1,40
420290 BRUSQUE,-,1,18,31,45,33,25,7,-,-,-,-,4,164
420300 CACADOR,-,1,21,27,17,14,18,6,2,-,-,-,5,111
420310 CAIBI,-,-,-,-,2,1,-,-,-,-,-,-,-,3
420320 CAMBORIU,-,-,1,-,2,2,1,2,-,-,-,-,-,8
420350 CAMPO ERE,-,-,5,1,5,3,1,-,1,-,-,-,-,16
420360 CAMPOS NOVOS,-,2,10,13,6,13,3,3,-,-,-,-,6,56
420380 CANOINHAS,-,-,11,12,15,14,7,2,-,-,-,-,18,79
420390 CAPINZAL,-,-,5,4,2,2,4,-,-,-,-,-,2,19
420400 CATANDUVAS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
420417 CERRO NEGRO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
420420 CHAPECO,-,10,54,75,81,63,58,13,2,-,-,-,37,393
420430 CONCORDIA,-,1,11,20,29,23,18,5,1,-,-,-,23,131
420440 CORONEL FREITAS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
420455 CORREIA PINTO,-,-,-,-,-,-,-,-,-,-,-,-,1,1
420460 CRICIUMA,-,1,35,69,64,67,48,17,4,2,-,-,1,308
420470 CUNHA PORA,-,-,-,2,2,2,-,1,1,-,-,-,-,8
420480 CURITIBANOS,-,4,23,30,28,18,11,8,-,-,-,-,8,130
420490 DESCANSO,-,-,1,-,-,-,-,1,-,-,-,-,-,2
420500 DIONISIO CERQUEIRA,-,-,5,8,3,3,3,-,-,-,-,-,1,23
420510 DONA EMMA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
420530 FAXINAL DOS GUEDES,-,-,-,1,2,1,-,-,-,-,-,-,-,4
420540 FLORIANOPOLIS,-,3,63,144,167,154,125,51,5,-,-,-,15,727
420550 FRAIBURGO,-,-,6,9,6,6,10,2,-,-,-,-,1,40
420570 GAROPABA,-,-,-,-,1,-,-,-,-,-,-,-,-,1
420590 GASPAR,-,-,8,14,14,13,8,4,-,-,-,-,3,64
420640 GUARACIABA,-,-,1,1,1,1,-,-,-,-,-,-,-,4
420650 GUARAMIRIM,-,-,-,1,3,1,-,-,-,-,-,-,1,6
420660 GUARUJA DO SUL,-,-,-,1,-,-,-,-,-,-,-,-,-,1
420690 IBIRAMA,-,-,7,10,17,8,4,2,-,-,-,-,5,53
420700 ICARA,-,1,7,15,14,8,7,2,-,-,-,-,1,55
420710 ILHOTA,-,-,1,-,-,-,-,-,-,-,-,-,-,1
420730 IMBITUBA,-,-,4,7,6,7,5,1,-,-,-,-,5,35
420750 INDAIAL,-,-,4,11,12,12,3,5,-,-,-,-,6,53
420765 IPORA DO OESTE,-,-,1,-,1,-,-,-,-,-,-,-,-,2
420768 IPUACU,-,-,-,1,-,-,-,-,-,-,-,-,-,1
420780 IRANI,-,-,-,-,-,-,-,1,1,-,-,-,-,2
420790 IRINEOPOLIS,-,-,-,2,-,-,-,-,-,-,-,-,-,2
420810 ITAIOPOLIS,-,-,-,2,-,-,-,-,-,-,-,-,-,2
420820 ITAJAI,-,3,42,73,67,62,46,20,4,-,-,-,17,334
420830 ITAPEMA,-,-,1,1,1,1,-,-,-,-,-,-,-,4
420840 ITAPIRANGA,-,-,1,-,3,1,2,-,-,-,-,-,2,9
420850 ITUPORANGA,-,-,3,7,9,8,7,1,-,-,-,-,4,39
420870 JACINTO MACHADO,-,-,-,1,-,-,-,1,-,-,-,-,-,2
420890 JARAGUA DO SUL,-,2,15,47,54,37,36,14,-,-,-,-,2,207
420900 JOACABA,-,-,8,23,15,23,7,8,-,-,-,-,14,98
420910 JOINVILLE,-,4,81,128,150,141,90,33,3,-,-,-,4,634
420930 LAGES,-,2,57,66,60,52,49,15,4,-,-,-,12,317
420940 LAGUNA,-,-,-,2,2,1,1,-,-,-,-,-,3,9
420960 LAURO MULLER,-,-,-,1,-,1,1,-,-,-,-,-,1,4
420970 LEBON REGIS,-,-,-,2,-,-,-,-,-,-,-,-,-,2
420985 LINDOIA DO SUL,-,-,-,-,1,-,-,-,-,-,-,-,-,1
421000 LUIZ ALVES,-,-,-,1,-,-,-,-,-,-,-,-,-,1
421005 MACIEIRA,-,-,-,1,1,-,-,-,-,-,-,-,-,2
421010 MAFRA,-,-,32,28,28,35,14,13,1,-,-,-,4,155
421020 MAJOR GERCINO,-,-,-,-,-,-,1,-,-,-,-,-,-,1
421050 MARAVILHA,-,-,3,9,9,8,2,1,-,-,-,-,1,33
421060 MASSARANDUBA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
421080 MELEIRO,-,-,2,2,2,-,1,-,-,-,-,-,4,11
421100 MONDAI,-,-,1,-,-,-,-,1,-,-,-,-,-,2
421120 MORRO DA FUMACA,-,-,-,2,-,-,-,-,-,-,-,-,-,2
421130 NAVEGANTES,-,1,12,17,9,16,5,6,-,-,-,-,1,67
421140 NOVA ERECHIM,-,-,-,-,-,-,-,-,-,-,-,-,1,1
421150 NOVA TRENTO,-,-,-,1,-,1,1,1,-,-,-,-,-,4
421160 NOVA VENEZA,-,-,-,-,-,-,2,-,-,-,-,-,-,2
421170 ORLEANS,-,-,5,4,2,3,1,-,-,-,-,-,-,15
421175 OTACILIO COSTA,-,-,2,1,1,-,-,-,-,-,-,-,-,4
421190 PALHOCA,-,-,-,1,2,-,4,-,-,-,-,-,-,7
421200 PALMA SOLA,-,-,2,-,5,-,-,2,-,-,-,-,3,12
421210 PALMITOS,-,-,1,2,-,1,1,-,-,-,-,-,3,8
421220 PAPANDUVA,-,-,-,4,1,1,2,1,-,-,-,-,-,9
421250 PENHA,-,-,-,-,1,1,1,-,-,-,-,-,-,3
421270 PETROLANDIA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
421280 BALNEARIO PICARRAS,-,-,-,1,-,-,-,-,-,-,-,-,1,2
421290 PINHALZINHO,-,-,-,2,3,4,-,-,-,-,-,-,-,9
421320 POMERODE,-,-,2,6,11,7,7,2,-,-,-,-,-,35
421340 PONTE SERRADA,-,-,-,-,-,-,-,-,-,-,-,-,1,1
421350 PORTO BELO,-,-,-,2,-,-,-,-,-,-,-,-,-,2
421360 PORTO UNIAO,-,-,5,4,3,8,4,2,-,-,-,-,10,36
421370 POUSO REDONDO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
421400 PRESIDENTE GETULIO,-,-,-,-,-,-,-,1,-,-,-,-,-,1
421415 PRINCESA,-,-,-,-,-,1,-,-,-,-,-,-,-,1
421420 QUILOMBO,-,-,1,1,-,2,6,-,-,-,-,-,3,13
421440 RIO DAS ANTAS,-,-,-,-,1,-,1,-,-,-,-,-,-,2
421450 RIO DO CAMPO,-,-,-,1,-,2,1,1,-,-,-,-,-,5
421460 RIO DO OESTE,-,-,1,-,-,-,-,-,-,-,-,-,-,1
421470 RIO DOS CEDROS,-,-,2,3,1,1,-,1,-,-,-,-,4,12
421480 RIO DO SUL,-,2,23,38,38,48,34,8,1,-,-,-,6,198
421490 RIO FORTUNA,-,-,1,-,1,-,-,-,-,-,-,-,-,2
421500 RIO NEGRINHO,-,-,2,7,6,13,8,1,-,-,-,-,3,40
421505 RIO RUFINO,-,-,-,-,-,-,1,-,-,-,-,-,-,1
421530 SALETE,-,-,-,2,1,-,-,1,-,-,-,-,-,4
421550 SANTA CECILIA,-,1,2,5,7,1,4,-,-,-,-,-,3,23
421567 SANTA TEREZINHA,-,-,-,1,-,-,-,-,-,-,-,-,-,1
421570 SANTO AMARO DA IMPERATRIZ,-,-,1,-,-,-,-,-,-,-,-,-,-,1
421575 SAO BERNARDINO,-,-,-,1,-,-,-,-,-,-,-,-,-,1
421580 SAO BENTO DO SUL,-,-,9,20,22,21,11,3,-,-,-,-,-,86
421600 SAO CARLOS,-,-,1,1,1,1,1,1,-,-,-,-,-,6
421605 SAO CRISTOVAO DO SUL,-,-,-,1,-,-,-,-,-,-,-,-,-,1
421610 SAO DOMINGOS,-,-,-,1,-,-,-,-,-,-,-,-,-,1
421620 SAO FRANCISCO DO SUL,-,-,5,6,4,10,6,1,-,-,-,-,1,33
421630 SAO JOAO BATISTA,-,-,2,4,1,2,3,-,-,-,-,-,3,15
421650 SAO JOAQUIM,-,-,2,1,2,2,-,-,-,-,-,-,5,12
421660 SAO JOSE,-,6,39,74,73,49,42,16,2,-,-,-,12,313
421670 SAO JOSE DO CEDRO,-,-,-,1,1,1,-,-,-,-,-,-,-,3
421680 SAO JOSE DO CERRITO,-,-,-,-,1,-,-,-,-,-,-,-,-,1
421690 SAO LOURENCO DO OESTE,-,-,4,5,1,1,1,-,-,-,-,-,1,13
421700 SAO LUDGERO,-,-,-,-,-,1,-,-,-,-,-,-,-,1
421720 SAO MIGUEL DO OESTE,-,1,11,14,21,32,13,4,-,-,-,-,5,101
421730 SAUDADES,-,-,1,-,-,-,-,-,-,-,-,-,-,1
421750 SEARA,-,-,1,4,6,5,2,1,-,-,-,-,3,22
421770 SOMBRIO,-,-,1,1,-,-,-,-,-,-,-,-,-,2
421780 TAIO,-,-,1,4,2,4,1,-,-,-,-,-,1,13
421790 TANGARA,-,1,1,2,3,-,1,-,-,-,-,-,-,8
421800 TIJUCAS,-,-,3,3,1,2,3,2,-,-,-,-,-,14
421820 TIMBO,-,-,5,12,8,8,3,-,-,-,-,-,2,38
421825 TIMBO GRANDE,-,-,1,-,-,-,-,-,-,-,-,-,-,1
