Município,Menos de 500g,500 a 999g,1000 a 1499 g,1500 a 2499 g,2500 a 2999 g,3000 a 3999 g,4000g e mais,Ignorado,Total
290170 ANTONIO CARDOSO,-,1,1,-,-,-,-,-,2
290180 ANTONIO GONCALVES,-,-,-,-,1,-,-,1,2
290190 APORA,-,-,-,1,-,-,-,-,1
290195 APUAREMA,-,1,-,-,-,-,-,-,1
290200 ARACATU,2,2,-,-,-,-,-,-,4
290205 ARACAS,1,-,-,-,1,1,-,-,3
290210 ARACI,1,7,5,9,4,6,-,6,38
290225 ARATACA,-,-,-,-,-,1,-,3,4
290240 AURELINO LEAL,-,2,-,1,3,2,-,3,11
290250 BAIANOPOLIS,-,1,-,-,-,-,-,-,1
290260 BAIXA GRANDE,-,5,2,3,-,1,-,-,11
290270 BARRA,10,31,27,56,17,36,9,4,190
290280 BARRA DA ESTIVA,1,15,6,12,8,9,6,15,72
290290 BARRA DO CHOCA,2,7,3,4,1,2,1,-,20
290300 BARRA DO MENDES,1,1,1,1,-,-,-,-,4
290320 BARREIRAS,86,130,94,157,60,55,16,11,609
290327 BARROCAS,1,3,1,-,-,-,-,3,8
290330 BARRO PRETO,-,-,-,-,-,-,1,-,1
290340 BELMONTE,-,1,4,6,2,4,1,1,19
290350 BELO CAMPO,1,3,-,1,4,-,-,1,10
290360 BIRITINGA,-,6,3,4,2,2,-,4,21
290370 BOA NOVA,-,-,-,-,1,-,-,-,1
290380 BOA VISTA DO TUPIM,-,5,2,-,1,1,-,-,9
290390 BOM JESUS DA LAPA,4,43,21,39,20,34,6,8,175
290395 BOM JESUS DA SERRA,-,-,1,-,-,2,-,-,3
290400 BONINAL,-,-,-,-,-,-,-,4,4
290405 BONITO,3,4,4,1,-,2,-,2,16
290410 BOQUIRA,-,2,2,2,1,3,-,6,16
290420 BOTUPORA,-,-,-,-,-,1,-,1,2
290430 BREJOES,-,-,-,1,1,1,1,1,5
290440 BREJOLANDIA,-,-,-,-,-,1,-,-,1
290450 BROTAS DE MACAUBAS,1,4,1,2,1,1,1,-,11
290460 BRUMADO,12,37,12,38,17,12,1,13,142
290470 BUERAREMA,-,1,-,2,-,-,-,-,3
290475 BURITIRAMA,-,3,3,3,1,3,-,1,14
290480 CAATIBA,-,2,-,-,-,-,-,2,4
290490 CACHOEIRA,1,3,2,3,2,3,1,5,20
290500 CACULE,1,5,4,10,3,3,2,-,28
290510 CAEM,-,1,-,1,-,1,-,-,3
290515 CAETANOS,-,-,-,1,-,-,-,-,1
290520 CAETITE,2,13,6,18,11,15,2,10,77
290530 CAFARNAUM,-,-,-,-,-,1,-,-,1
290540 CAIRU,-,-,-,2,-,-,-,-,2
290550 CALDEIRAO GRANDE,-,3,2,2,-,3,-,-,10
290560 CAMACAN,5,12,3,6,9,10,1,7,53
290570 CAMACARI,9,116,65,105,49,54,17,35,450
290580 CAMAMU,2,6,2,3,2,8,1,6,30
290590 CAMPO ALEGRE DE LOURDES,-,3,-,3,-,1,-,7,14
290600 CAMPO FORMOSO,6,7,8,28,7,19,3,7,85
290610 CANAPOLIS,1,1,-,1,1,3,-,6,13
290620 CANARANA,-,1,-,3,1,2,1,1,9
290630 CANAVIEIRAS,4,1,2,3,1,4,2,-,17
290640 CANDEAL,-,1,1,-,-,1,-,-,3
290650 CANDEIAS,3,24,13,16,9,10,2,13,90
290660 CANDIBA,-,-,-,1,-,-,-,1,2
290670 CANDIDO SALES,-,-,3,5,1,3,-,3,15
290680 CANSANCAO,1,6,3,2,3,10,-,1,26
290682 CANUDOS,-,-,-,2,1,1,-,1,5
290685 CAPELA DO ALTO ALEGRE,-,-,1,2,-,-,-,-,3
290687 CAPIM GROSSO,2,16,12,18,4,9,-,10,71
290689 CARAIBAS,-,1,-,-,-,-,-,-,1
290690 CARAVELAS,1,3,1,1,-,1,1,1,9
290700 CARDEAL DA SILVA,-,2,-,-,-,-,-,1,3
290710 CARINHANHA,2,12,3,4,7,3,-,3,34
290720 CASA NOVA,2,1,3,6,7,5,-,4,28
290730 CASTRO ALVES,-,11,2,11,4,5,3,5,41
290750 CATU,2,9,8,4,3,8,-,1,35
290755 CATURAMA,-,-,-,1,-,-,-,-,1
290760 CENTRAL,1,-,-,2,-,1,-,-,4
290770 CHORROCHO,-,1,-,-,1,-,-,1,3
290780 CICERO DANTAS,-,5,3,-,1,2,-,1,12
290790 CIPO,-,3,3,4,1,3,-,2,16
290800 COARACI,-,-,2,2,-,4,-,-,8
290810 COCOS,2,3,-,2,4,3,-,3,17
290820 CONCEICAO DA FEIRA,-,-,-,-,-,-,-,1,1
290830 CONCEICAO DO ALMEIDA,-,3,1,-,1,-,-,2,7
290840 CONCEICAO DO COITE,6,25,17,23,17,18,2,10,118
290850 CONCEICAO DO JACUIPE,1,4,1,3,-,2,-,-,11
290860 CONDE,1,2,-,1,1,2,2,1,10
290870 CONDEUBA,1,2,2,-,-,-,-,4,9
290880 CONTENDAS DO SINCORA,-,1,-,1,-,-,-,1,3
290890 CORACAO DE MARIA,-,-,-,-,2,-,-,1,3
290900 CORDEIROS,1,-,-,-,-,1,-,-,2
290910 CORIBE,-,2,-,1,-,-,-,1,4
290920 CORONEL JOAO SA,-,-,-,-,-,1,-,-,1
290930 CORRENTINA,1,6,6,16,6,14,-,4,53
290940 COTEGIPE,-,-,-,-,-,-,-,1,1
290950 CRAVOLANDIA,-,1,-,-,-,-,-,-,1
290960 CRISOPOLIS,-,3,3,5,3,3,1,2,20
290970 CRISTOPOLIS,-,-,-,-,-,-,-,2,2
290980 CRUZ DAS ALMAS,13,53,24,46,16,26,7,10,195
290990 CURACA,2,2,5,1,-,2,-,-,12
291000 DARIO MEIRA,-,1,-,-,-,-,-,-,1
291005 DIAS D'AVILA,3,20,6,19,11,6,3,6,74
291010 DOM BASILIO,-,2,-,-,-,-,-,-,2
291020 DOM MACEDO COSTA,-,-,-,-,-,-,-,2,2
291030 ELISIO MEDRADO,-,2,1,-,-,-,-,-,3
291040 ENCRUZILHADA,-,3,-,1,1,3,-,2,10
291050 ENTRE RIOS,-,5,4,2,5,3,1,8,28
291060 ESPLANADA,3,4,3,7,3,11,5,3,39
291070 EUCLIDES DA CUNHA,3,18,8,8,8,7,7,9,68
291072 EUNAPOLIS,10,56,34,77,33,32,11,12,265
291075 FATIMA,-,-,-,1,-,-,-,-,1
291080 FEIRA DE SANTANA,79,479,274,468,180,207,63,130,1.880
291085 FILADELFIA,-,3,1,3,-,2,-,6,15
291100 FLORESTA AZUL,-,-,-,-,-,1,-,-,1
291110 FORMOSA DO RIO PRETO,-,3,-,-,-,3,1,4,11
291120 GANDU,-,21,9,14,8,21,4,1,78
291130 GENTIO DO OURO,-,-,-,-,1,1,-,3,5
291150 GONGOGI,1,1,1,2,-,-,-,-,5
291160 GOVERNADOR MANGABEIRA,1,2,1,-,-,-,-,-,4
291165 GUAJERU,-,-,-,-,1,-,-,-,1
291170 GUANAMBI,5,98,54,109,48,50,15,9,388
291180 GUARATINGA,-,2,3,2,-,7,1,1,16
291190 IACU,-,4,4,3,3,4,2,2,22
291200 IBIASSUCE,-,4,-,4,4,-,-,3,15
291210 IBICARAI,-,2,-,2,1,-,-,2,7
291220 IBICOARA,-,1,-,1,-,-,-,-,2
291230 IBICUI,1,1,-,-,-,3,1,1,7
291240 IBIPEBA,-,2,-,1,1,2,-,-,6
291250 IBIPITANGA,-,2,-,2,-,3,-,-,7
291270 IBIRAPITANGA,1,2,1,7,3,3,2,1,20
291280 IBIRAPUA,-,1,-,1,-,1,-,-,3
291290 IBIRATAIA,-,2,-,2,3,1,-,-,8
291300 IBITIARA,-,2,3,7,1,4,-,-,17
291310 IBITITA,-,-,-,-,2,4,-,1,7
291320 IBOTIRAMA,2,23,14,26,16,41,8,2,132
291330 ICHU,-,-,1,1,-,-,-,-,2
291340 IGAPORA,1,-,-,1,-,3,-,3,8
291345 IGRAPIUNA,-,1,1,-,-,2,-,1,5
291350 IGUAI,5,3,2,6,1,3,-,9,29
291360 ILHEUS,6,106,82,169,47,69,25,29,533
291370 INHAMBUPE,1,11,2,3,1,7,3,6,34
291380 IPECAETA,-,1,1,-,-,1,-,-,3
291390 IPIAU,3,29,20,27,9,11,7,27,133
291400 IPIRA,3,20,8,9,7,10,4,10,71
291410 IPUPIARA,-,-,3,2,-,2,1,-,8
291420 IRAJUBA,-,-,-,-,1,1,1,-,3
291440 IRAQUARA,10,15,8,21,7,12,4,15,92
291450 IRARA,-,6,2,3,1,3,3,3,21
291460 IRECE,23,143,112,162,69,100,26,7,642
291465 ITABELA,-,13,15,9,6,5,3,3,54
291470 ITABERABA,12,44,32,62,34,45,6,15,250
291480 ITABUNA,22,275,198,344,133,161,46,24,1.203
291490 ITACARE,4,4,2,1,2,-,-,3,16
291500 ITAETE,-,1,2,3,2,2,2,4,16
291510 ITAGI,1,-,-,-,-,1,-,1,3
291520 ITAGIBA,-,1,-,-,1,-,1,-,3
291530 ITAGIMIRIM,-,-,-,1,-,-,-,1,2
291535 ITAGUACU DA BAHIA,1,2,-,3,2,-,-,2,10
291540 ITAJU DO COLONIA,-,-,-,1,1,-,-,2,4
291550 ITAJUIPE,-,4,-,-,1,-,-,2,7
291560 ITAMARAJU,-,20,16,26,16,18,6,18,120
291570 ITAMARI,-,-,-,-,1,-,-,1,2
291580 ITAMBE,3,1,-,2,3,5,-,10,24
291590 ITANAGRA,-,-,1,1,-,-,-,1,3
291600 ITANHEM,2,5,-,10,4,4,2,1,28
291610 ITAPARICA,-,4,8,9,7,6,-,5,39
291630 ITAPEBI,-,3,-,1,1,-,-,-,5
291640 ITAPETINGA,4,12,9,21,10,8,7,104,175
291650 ITAPICURU,-,2,1,1,1,1,1,1,8
291660 ITAPITANGA,1,2,1,1,-,1,-,2,8
291670 ITAQUARA,-,-,-,-,1,-,-,-,1
291680 ITARANTIM,-,3,-,2,-,3,-,1,9
291685 ITATIM,1,3,3,-,-,-,-,-,7
291690 ITIRUCU,-,1,2,3,-,-,-,1,7
291700 ITIUBA,-,6,1,2,2,7,1,5,24
291710 ITORORO,-,2,1,-,2,1,-,-,6
291720 ITUACU,-,1,-,3,-,1,-,2,7
291730 ITUBERA,-,6,2,3,2,5,-,5,23
291733 IUIU,1,1,-,-,-,1,-,2,5
291735 JABORANDI,2,4,4,3,4,6,-,3,26
291740 JACARACI,-,-,2,3,-,1,-,1,7
291750 JACOBINA,5,59,34,45,27,33,5,44,252
291760 JAGUAQUARA,3,16,12,13,5,11,3,9,72
291770 JAGUARARI,-,1,1,1,3,1,-,-,7
291800 JEQUIE,40,157,102,164,66,71,27,11,638
291810 JEREMOABO,2,-,5,2,1,3,-,-,13
291820 JIQUIRICA,2,1,1,4,1,-,-,-,9
291830 JITAUNA,-,1,-,-,-,1,-,1,3
291835 JOAO DOURADO,-,2,1,-,-,1,-,1,5
291840 JUAZEIRO,41,133,90,153,78,69,10,9,583
291845 JUCURUCU,-,-,1,-,-,1,-,-,2
291850 JUSSARA,-,-,1,1,-,1,-,-,3
291855 JUSSARI,-,1,2,-,1,1,-,-,5
291860 JUSSIAPE,-,-,-,-,-,-,1,-,1
291875 LAGOA REAL,1,1,-,-,-,-,-,-,2
291880 LAJE,2,2,2,1,-,1,-,-,8
291900 LAJEDINHO,-,-,-,-,-,-,-,1,1
291905 LAJEDO DO TABOCAL,-,1,2,-,-,-,-,-,3
291910 LAMARAO,-,-,-,1,-,-,-,1,2
291915 LAPAO,-,1,-,1,2,2,-,-,6
291920 LAURO DE FREITAS,5,94,38,58,14,17,9,40,275
291930 LENCOIS,-,1,-,3,1,-,-,-,5
291940 LICINIO DE ALMEIDA,1,2,-,2,1,2,-,1,9
291950 LIVRAMENTO DE NOSSA SENHORA,5,12,16,13,6,7,1,5,65
291955 LUIS EDUARDO MAGALHAES,2,32,16,32,10,29,5,6,132
291960 MACAJUBA,-,-,-,1,-,4,-,1,6
291970 MACARANI,1,1,-,-,3,2,-,2,9
291980 MACAUBAS,-,4,4,14,6,8,1,3,40
291990 MACURURE,-,1,-,1,1,1,-,1,5
291992 MADRE DE DEUS,-,5,4,6,2,6,1,3,27
291995 MAETINGA,-,-,1,-,1,-,-,-,2
292000 MAIQUINIQUE,-,-,-,-,-,-,1,2,3
292010 MAIRI,-,3,3,2,1,3,-,2,14
292020 MALHADA,1,-,1,1,1,1,-,1,6
292030 MALHADA DE PEDRAS,-,-,-,-,-,1,-,-,1
292050 MARACAS,-,2,-,4,3,2,-,2,13
292060 MARAGOGIPE,-,3,1,-,2,-,-,3,9
292070 MARAU,1,2,1,-,1,-,-,1,6
292080 MARCIONILIO SOUZA,-,2,-,-,-,1,-,-,3
292090 MASCOTE,-,-,-,-,-,-,-,2,2
292100 MATA DE SAO JOAO,3,15,4,16,10,11,2,2,63
292110 MEDEIROS NETO,2,8,2,5,3,2,1,2,25
292120 MIGUEL CALMON,4,10,7,12,4,11,1,8,57
292130 MILAGRES,-,-,-,1,-,-,-,1,2
292140 MIRANGABA,-,1,-,1,-,-,-,1,3
292145 MIRANTE,1,-,-,1,1,-,-,-,3
292150 MONTE SANTO,4,9,11,23,9,11,2,18,87
292160 MORPARA,-,1,-,2,-,1,-,1,5
292170 MORRO DO CHAPEU,-,6,7,12,7,8,1,4,45
292180 MORTUGABA,-,2,1,-,1,1,-,2,7
292190 MUCUGE,-,-,3,4,-,4,-,-,11
292200 MUCURI,-,16,4,18,6,5,1,-,50
292205 MULUNGU DO MORRO,1,-,-,1,-,3,1,-,6
292210 MUNDO NOVO,-,-,1,1,-,1,-,1,4
292220 MUNIZ FERREIRA,-,-,-,-,-,-,-,1,1
292225 MUQUEM DE SAO FRANCISCO,-,-,-,-,-,-,-,1,1
292230 MURITIBA,-,3,-,-,-,-,-,-,3
292240 MUTUIPE,-,6,3,5,2,5,1,2,24
292250 NAZARE,1,6,2,2,2,5,2,1,21
292260 NILO PECANHA,-,-,1,-,-,-,-,1,2
292265 NORDESTINA,-,1,3,3,2,3,-,2,14
292270 NOVA CANAA,2,-,-,-,1,2,-,6,11
292273 NOVA FATIMA,1,-,1,-,-,-,-,-,2
292280 NOVA ITARANA,-,-,-,-,-,-,-,1,1
292285 NOVA REDENCAO,-,1,-,-,-,-,-,-,1
292290 NOVA SOURE,1,3,1,5,1,5,-,1,17
292300 NOVA VICOSA,2,12,6,11,4,4,2,6,47
292303 NOVO HORIZONTE,-,-,-,-,-,2,-,-,2
292310 OLINDINA,-,-,-,1,3,3,-,2,9
292320 OLIVEIRA DOS BREJINHOS,-,4,1,4,1,1,1,-,12
292330 OURICANGAS,-,-,-,1,-,-,-,-,1
292335 OUROLANDIA,1,5,1,1,-,1,-,2,11
292340 PALMAS DE MONTE ALTO,-,4,2,1,3,1,-,2,13
292360 PARAMIRIM,1,26,7,12,10,14,3,3,76
292370 PARATINGA,2,2,3,7,6,5,2,3,30
292380 PARIPIRANGA,-,4,1,-,1,2,-,-,8
292390 PAU BRASIL,-,2,1,3,1,-,-,1,8
292400 PAULO AFONSO,2,57,37,53,23,54,12,132,370
292405 PE DE SERRA,-,1,-,-,-,-,1,-,2
292410 PEDRAO,-,1,-,-,-,-,-,-,1
292420 PEDRO ALEXANDRE,-,-,-,-,1,-,-,-,1
292430 PIATA,1,4,2,5,3,3,-,2,20
292440 PILAO ARCADO,4,4,1,10,5,6,-,-,30
292450 PINDAI,-,1,2,1,-,-,-,3,7
292460 PINDOBACU,-,-,-,3,-,1,1,2,7
292465 PINTADAS,-,1,-,1,-,1,-,1,4
292467 PIRAI DO NORTE,-,1,1,-,-,-,-,2,4
292470 PIRIPA,-,2,-,1,1,-,-,-,4
292480 PIRITIBA,2,3,3,1,2,-,-,3,14
292500 PLANALTO,1,-,-,2,1,2,-,3,9
292510 POCOES,3,4,3,8,4,7,4,1,34
292520 POJUCA,-,10,4,9,6,11,1,8,49
292525 PONTO NOVO,-,2,2,3,1,1,-,-,9
292530 PORTO SEGURO,4,110,61,96,38,68,18,14,409
292540 POTIRAGUA,-,-,-,1,-,-,-,1,2
292550 PRADO,2,9,3,5,4,5,2,-,30
292560 PRESIDENTE DUTRA,-,-,-,1,-,-,-,1,2
292570 PRESIDENTE JANIO QUADROS,-,2,1,-,-,-,-,2,5
292575 PRESIDENTE TANCREDO NEVES,-,6,-,2,2,2,-,2,14
292580 QUEIMADAS,2,5,3,5,2,7,2,5,31
292590 QUIJINGUE,-,7,3,5,3,2,-,1,21
292595 RAFAEL JAMBEIRO,1,3,-,2,-,3,-,3,12
292600 REMANSO,2,9,10,12,9,10,-,11,63
292610 RETIROLANDIA,-,1,-,1,1,1,-,2,6
292620 RIACHAO DAS NEVES,1,1,-,-,-,1,-,3,6
292630 RIACHAO DO JACUIPE,4,11,9,15,6,8,3,3,59
292640 RIACHO DE SANTANA,-,2,1,2,1,6,1,1,14
292650 RIBEIRA DO AMPARO,-,-,1,2,-,-,-,-,3
292660 RIBEIRA DO POMBAL,3,48,34,64,29,27,6,22,233
292670 RIO DE CONTAS,-,2,-,-,-,1,-,1,4
292680 RIO DO ANTONIO,-,1,-,-,-,-,-,1,2
292690 RIO DO PIRES,-,-,-,1,-,-,-,1,2
292700 RIO REAL,1,9,4,6,3,5,1,4,33
292710 RODELAS,-,-,1,3,1,-,-,-,5
292720 RUY BARBOSA,4,9,11,2,5,5,2,2,40
292730 SALINAS DA MARGARIDA,2,1,1,1,-,-,-,1,6
292740 SALVADOR,867,1.623,888,1.393,543,565,169,303,6.351
292750 SANTA BARBARA,2,3,-,1,-,-,-,1,7
292760 SANTA BRIGIDA,-,-,-,-,-,-,-,1,1
292770 SANTA CRUZ CABRALIA,1,1,1,1,1,-,-,-,5
292790 SANTA INES,-,1,-,-,-,1,-,-,2
292800 SANTALUZ,1,7,3,7,6,14,2,3,43
292805 SANTA LUZIA,-,-,-,-,-,-,-,1,1
292810 SANTA MARIA DA VITORIA,4,13,8,16,2,17,2,11,73
292820 SANTANA,2,2,2,6,2,2,-,4,20
292830 SANTANOPOLIS,-,1,-,-,-,-,-,-,1
292840 SANTA RITA DE CASSIA,3,3,2,9,4,3,-,4,28
292850 SANTA TERESINHA,1,-,-,-,1,1,1,1,5
292860 SANTO AMARO,-,4,9,4,-,8,-,2,27
292870 SANTO ANTONIO DE JESUS,68,135,68,133,76,69,34,10,593
292880 SANTO ESTEVAO,-,6,2,1,2,4,1,8,24
292890 SAO DESIDERIO,-,2,2,1,2,4,-,3,14
292895 SAO DOMINGOS,-,-,1,-,-,-,-,-,1
292900 SAO FELIX,2,35,20,24,13,20,7,3,124
292905 SAO FELIX DO CORIBE,1,2,5,8,3,1,-,6,26
292910 SAO FELIPE,1,2,-,1,1,-,-,-,5
292920 SAO FRANCISCO DO CONDE,4,29,8,19,10,12,4,6,92
292925 SAO GABRIEL,1,1,-,-,1,-,-,2,5
292930 SAO GONCALO DOS CAMPOS,-,1,1,1,-,-,-,-,3
292937 SAO JOSE DO JACUIPE,-,-,-,1,-,1,-,-,2
292940 SAO MIGUEL DAS MATAS,1,1,-,-,-,-,-,-,2
292950 SAO SEBASTIAO DO PASSE,4,3,4,5,2,2,1,-,21
292960 SAPEACU,1,4,-,3,-,2,-,2,12
292970 SATIRO DIAS,-,4,1,2,-,1,1,-,9
292975 SAUBARA,-,-,-,3,-,-,-,-,3
292980 SAUDE,2,1,-,-,2,3,-,4,12
292990 SEABRA,6,5,5,4,4,4,2,-,30
293000 SEBASTIAO LARANJEIRAS,-,1,-,2,-,-,-,-,3
293010 SENHOR DO BONFIM,2,32,25,41,19,25,12,7,163
293015 SERRA DO RAMALHO,-,3,2,3,5,7,1,1,22
293020 SENTO SE,2,3,3,4,3,2,1,7,25
293030 SERRA DOURADA,3,4,3,3,-,3,2,1,19
293040 SERRA PRETA,-,1,3,-,-,-,-,3,7
293050 SERRINHA,7,24,25,41,23,26,11,27,184
293060 SERROLANDIA,-,2,1,1,1,2,-,1,8
293070 SIMOES FILHO,14,38,26,28,13,12,7,20,158
293075 SITIO DO MATO,-,-,-,-,1,1,-,2,4
293076 SITIO DO QUINTO,-,-,-,-,1,-,-,-,1
293077 SOBRADINHO,-,3,2,1,1,-,-,3,10
293080 SOUTO SOARES,-,1,-,-,-,1,-,2,4
293090 TABOCAS DO BREJO VELHO,-,-,-,-,-,-,-,2,2
293100 TANHACU,1,-,-,2,1,-,-,-,4
293105 TANQUE NOVO,-,4,-,-,-,1,-,2,7
293110 TANQUINHO,-,-,1,-,-,-,-,2,3
293120 TAPEROA,-,4,-,1,-,-,-,1,6
293130 TAPIRAMUTA,-,1,3,4,1,3,-,4,16
293135 TEIXEIRA DE FREITAS,21,133,96,135,50,76,9,17,537
293150 TEOFILANDIA,-,3,2,2,-,1,1,1,10
293160 TEOLANDIA,-,3,-,3,2,-,1,1,10
293170 TERRA NOVA,1,-,-,1,-,-,-,-,2
293180 TREMEDAL,-,-,-,-,1,-,-,2,3
293190 TUCANO,7,7,2,6,2,5,-,4,33
293200 UAUA,-,2,2,3,1,4,-,2,14
293210 UBAIRA,-,4,1,3,1,3,-,1,13
293220 UBAITABA,1,3,2,2,2,1,1,4,16
293230 UBATA,-,1,-,3,1,3,-,1,9
293240 UIBAI,-,-,-,1,1,2,-,-,4
293245 UMBURANAS,-,-,-,-,-,-,-,2,2
293250 UNA,1,2,-,-,-,1,2,2,8
293260 URANDI,1,1,-,1,-,2,1,1,7
293270 URUCUCA,-,1,-,2,-,-,-,2,5
293280 UTINGA,-,1,-,3,-,1,-,2,7
293290 VALENCA,4,38,25,45,18,29,11,120,290
293300 VALENTE,2,3,3,-,-,2,1,-,11
293305 VARZEA DA ROCA,-,-,1,-,-,-,-,-,1
293315 VARZEA NOVA,-,-,-,3,1,2,-,-,6
293320 VERA CRUZ,-,8,2,6,-,2,-,2,20
293325 VEREDA,-,-,-,1,-,-,-,-,1
293330 VITORIA DA CONQUISTA,225,366,192,296,132,138,40,55,1.444
293340 WAGNER,-,-,-,3,-,1,1,2,7
293345 WANDERLEY,-,1,-,-,-,-,-,1,2
293350 WENCESLAU GUIMARAES,-,1,1,7,1,-,1,2,13
293360 XIQUE-XIQUE,1,6,2,12,2,15,1,3,42
310010 ABADIA DOS DOURADOS,-,1,-,-,1,-,-,-,2
310020 ABAETE,3,1,2,4,3,-,-,-,13
310030 ABRE CAMPO,1,2,3,1,-,-,-,2,9
310060 AGUA BOA,-,2,1,2,-,2,-,-,7
310090 AGUAS FORMOSAS,2,11,8,9,6,12,3,1,52
310100 AGUAS VERMELHAS,-,1,2,6,3,1,-,4,17
310110 AIMORES,2,-,2,1,2,4,-,2,13
310120 AIURUOCA,1,6,4,1,2,1,-,3,18
310150 ALEM PARAIBA,4,15,9,19,9,8,1,2,67
310160 ALFENAS,11,51,26,35,17,11,-,34,185
310163 ALFREDO VASCONCELOS,-,1,-,-,-,-,-,-,1
310170 ALMENARA,3,36,17,34,17,21,1,24,153
310190 ALPINOPOLIS,3,-,3,2,-,-,-,1,9
310200 ALTEROSA,-,-,-,2,1,1,-,1,5
310210 ALTO RIO DOCE,-,1,-,-,-,-,-,-,1
310220 ALVARENGA,-,1,-,-,-,-,-,-,1
310230 ALVINOPOLIS,-,1,1,-,1,-,-,-,3
310240 ALVORADA DE MINAS,-,-,-,-,-,-,-,1,1
310260 ANDRADAS,1,15,6,6,5,8,1,1,43
310270 CACHOEIRA DE PAJEU,-,-,1,-,-,-,-,2,3
310280 ANDRELANDIA,1,3,3,2,3,-,-,2,14
310285 ANGELANDIA,-,2,1,-,-,-,-,-,3
310340 ARACUAI,11,20,20,27,13,12,2,6,111
310350 ARAGUARI,15,34,11,37,13,11,4,6,131
310360 ARANTINA,1,-,-,-,-,-,-,-,1
310370 ARAPONGA,1,1,-,-,-,-,-,-,2
310375 ARAPORA,-,-,-,-,-,-,1,-,1
310390 ARAUJOS,-,1,-,-,-,-,-,-,1
310400 ARAXA,28,37,21,37,19,8,1,4,155
310410 ARCEBURGO,-,1,-,-,-,1,-,-,2
310420 ARCOS,1,12,3,9,2,3,1,1,32
310430 AREADO,-,-,-,1,-,-,-,-,1
310445 ARICANDUVA,-,-,-,1,-,-,-,-,1
310450 ARINOS,-,-,2,1,-,1,-,1,5
310460 ASTOLFO DUTRA,-,-,-,-,-,-,-,1,1
310470 ATALEIA,-,2,-,-,-,1,-,-,3
310490 BAEPENDI,2,7,4,5,3,2,1,2,26
310510 BAMBUI,2,3,-,1,-,3,1,1,11
310540 BARAO DE COCAIS,-,1,2,2,1,4,-,-,10
310550 BARAO DE MONTE ALTO,-,-,-,-,-,-,-,1,1
310560 BARBACENA,24,53,28,56,19,18,4,44,246
310590 BARROSO,3,5,2,1,-,-,-,1,12
310620 BELO HORIZONTE,1.430,1.417,637,981,402,385,62,227,5.541
310640 BELO VALE,1,-,1,1,-,-,-,-,3
310650 BERILO,-,-,-,1,-,1,-,1,3
310660 BERTOPOLIS,-,1,-,-,-,-,-,-,1
310670 BETIM,117,145,72,154,50,59,4,31,632
310680 BIAS FORTES,-,-,-,-,-,-,-,1,1
310690 BICAS,-,2,-,-,1,-,-,-,3
310710 BOA ESPERANCA,-,9,2,10,4,6,2,4,37
310730 BOCAIUVA,3,10,7,8,4,9,-,7,48
310740 BOM DESPACHO,10,9,7,10,1,7,-,6,50
310780 BOM JESUS DO GALHO,-,-,1,1,1,-,1,-,4
310800 BOM SUCESSO,-,1,-,1,-,-,1,2,5
310825 BONITO DE MINAS,-,-,-,1,-,1,-,1,3
310830 BORDA DA MATA,-,-,-,-,-,-,-,1,1
310840 BOTELHOS,1,1,-,1,-,1,-,1,5
310855 BRASILANDIA DE MINAS,1,1,-,4,-,-,-,2,8
310860 BRASILIA DE MINAS,15,38,27,35,12,18,2,5,152
310870 BRAS PIRES,-,1,-,-,-,-,-,-,1
310880 BRAUNAS,-,-,-,-,-,-,-,1,1
310900 BRUMADINHO,-,-,-,2,1,-,-,-,3
310910 BUENO BRANDAO,-,-,1,-,-,-,-,1,2
310920 BUENOPOLIS,-,-,1,-,-,-,-,-,1
310930 BURITIS,-,3,2,4,4,3,-,4,20
310940 BURITIZEIRO,1,1,3,1,1,-,1,2,10
310950 CABO VERDE,-,-,-,6,2,1,-,-,9
310960 CACHOEIRA DA PRATA,-,-,-,-,-,-,-,1,1
310980 CACHOEIRA DOURADA,-,-,-,-,-,-,-,1,1
310990 CAETANOPOLIS,-,1,1,1,-,-,-,4,7
311000 CAETE,2,15,2,6,3,6,-,2,36
311030 CALDAS,-,1,2,4,-,1,-,2,10
311050 CAMANDUCAIA,-,2,-,-,-,2,-,3,7
311060 CAMBUI,1,1,1,1,-,-,-,8,12
311070 CAMBUQUIRA,-,3,-,3,1,1,1,2,11
311090 CAMPANHA,1,2,1,-,-,-,-,-,4
311100 CAMPESTRE,-,2,2,-,1,1,-,1,7
311110 CAMPINA VERDE,-,4,-,3,2,-,-,2,11
311120 CAMPO BELO,6,14,10,17,6,6,2,1,62
311130 CAMPO DO MEIO,-,-,-,-,1,-,-,1,2
311140 CAMPO FLORIDO,-,-,1,-,-,-,-,-,1
311150 CAMPOS ALTOS,2,5,-,3,2,-,-,-,12
311160 CAMPOS GERAIS,-,6,1,-,3,2,-,3,15
311180 CANAPOLIS,-,-,-,3,-,-,-,-,3
311230 CAPELINHA,4,8,8,15,7,7,1,3,53
311240 CAPETINGA,-,1,-,-,-,-,-,-,1
311260 CAPINOPOLIS,-,-,-,-,-,1,-,-,1
311270 CAPITAO ENEAS,-,2,-,-,-,-,-,-,2
311280 CAPITOLIO,-,-,-,-,1,-,-,-,1
311300 CARAI,1,4,1,-,1,1,-,1,9
311320 CARANDAI,-,5,2,1,1,-,-,5,14
311330 CARANGOLA,10,30,22,33,13,19,1,26,154
311340 CARATINGA,6,38,31,50,19,26,-,15,185
